I,time,atemp,cad,hr,lat,lon
501,2020-05-28T01:49:37.000Z,25.0,81,131,43.72013770043849945068359375,-79.360703118145465850830078125
502,2020-05-28T01:49:40.000Z,25.0,81,128,43.72014180757105350494384765625,-79.360578395426273345947265625
503,2020-05-28T01:49:44.000Z,25.0,81,125,43.720189668238162994384765625,-79.360324926674365997314453125
504,2020-05-28T01:49:52.000Z,25.0,82,127,43.7202263809740543365478515625,-79.36008118093013763427734375
505,2020-05-28T01:50:01.000Z,24.0,81,125,43.72023702599108219146728515625,-79.35982243157923221588134765625
506,2020-05-28T01:50:10.000Z,24.0,82,125,43.7202605791389942169189453125,-79.35956007800996303558349609375
507,2020-05-28T01:50:20.000Z,24.0,81,127,43.7203276343643665313720703125,-79.35931817628443241119384765625
508,2020-05-28T01:50:28.000Z,24.0,82,127,43.720352612435817718505859375,-79.3590668030083179473876953125
509,2020-05-28T01:50:36.000Z,24.0,84,124,43.72036225162446498870849609375,-79.3589003384113311767578125
510,2020-05-28T01:50:42.000Z,24.0,82,127,43.72036644257605075836181640625,-79.35862717218697071075439453125
511,2020-05-28T01:50:52.000Z,24.0,82,126,43.7203547917306423187255859375,-79.35835207812488079071044921875
512,2020-05-28T01:51:00.000Z,24.0,81,127,43.720369040966033935546875,-79.35809441842138767242431640625
513,2020-05-28T01:51:08.000Z,24.0,82,127,43.72041690163314342498779296875,-79.35792393051087856292724609375
514,2020-05-28T01:51:14.000Z,24.0,81,126,43.72040013782680034637451171875,-79.35794471763074398040771484375
515,2020-05-28T01:51:18.000Z,24.0,81,129,43.7203918397426605224609375,-79.357943125069141387939453125
516,2020-05-28T01:51:19.000Z,24.0,81,129,43.7203152291476726531982421875,-79.35785385780036449432373046875
517,2020-05-28T01:51:25.000Z,24.0,84,130,43.72020534239709377288818359375,-79.3577696196734905242919921875
518,2020-05-28T01:51:31.000Z,24.0,87,130,43.72011515311896800994873046875,-79.3577260337769985198974609375
519,2020-05-28T01:51:37.000Z,24.0,83,129,43.72006217949092388153076171875,-79.35769611038267612457275390625
520,2020-05-28T01:51:40.000Z,24.0,82,129,43.7198875844478607177734375,-79.3575726449489593505859375
521,2020-05-28T01:51:48.000Z,24.0,85,129,43.7198527157306671142578125,-79.35754439793527126312255859375
522,2020-05-28T01:51:51.000Z,24.0,87,129,43.71981223113834857940673828125,-79.3575292266905307769775390625
523,2020-05-28T01:51:54.000Z,24.0,80,132,43.71975950896739959716796875,-79.35753618367016315460205078125
